Series Name,Series Code,Country Name,Country Code,2015 [YR2015]
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Viet Nam,VNM,77.801
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Virgin Islands (U.S.),VIR,59.37
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,West Bank and Gaza,PSE,85.457
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,"Yemen, Rep.",YEM,149.098
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Zambia,ZMB,259.209
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Zimbabwe,ZWE,338.869
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Africa Eastern and Southern,AFE,247.3344479
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Africa Western and Central,AFW,305.3027793
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Arab World,ARB,117.1582303
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Caribbean small states,CSS,132.9831671
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Central Europe and the Baltics,CEB,68.95329759
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Early-demographic dividend,EAR,137.060093
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,East Asia & Pacific,EAS,77.46654635
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,East Asia & Pacific (excluding high income),EAP,82.00298696
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,East Asia & Pacific (IDA & IBRD countries),TEA,81.70336688
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Euro area,EMU,46.38512977
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Europe & Central Asia,ECS,61.11352808
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Europe & Central Asia (excluding high income),ECA,82.1066883
